,Country,Indicator,Missing Data Percentage
590,Romania,GDP_per_capita,0.0
591,Russia,GDP_per_capita,0.0
592,Serbia,GDP_per_capita,0.0
593,Slovakia,GDP_per_capita,0.0
594,Slovenia,GDP_per_capita,0.0
595,Ukraine,GDP_per_capita,0.0
596,Argentina,GDP_per_capita,0.0
597,Bolivia,GDP_per_capita,0.0
598,Brazil,GDP_per_capita,0.0
599,Chile,GDP_per_capita,0.0
600,Colombia,GDP_per_capita,0.0
601,Costa Rica,GDP_per_capita,0.0
602,Dominican Republic,GDP_per_capita,0.0
603,Ecuador,GDP_per_capita,0.0
604,Guatemala,GDP_per_capita,0.0
605,Mexico,GDP_per_capita,0.0
606,Peru,GDP_per_capita,0.0
607,Uruguay,GDP_per_capita,0.0
608,Venezuela,GDP_per_capita,0.0
609,Algeria,GDP_per_capita,0.0
610,Cameroon,GDP_per_capita,0.0
611,Egypt,GDP_per_capita,0.0
612,Iran,GDP_per_capita,0.0
613,Israel,GDP_per_capita,0.0
614,Kenya,GDP_per_capita,0.0
615,Morocco,GDP_per_capita,0.0
616,Nigeria,GDP_per_capita,0.0
617,Saudi Arabia,GDP_per_capita,0.0
618,South Africa,GDP_per_capita,0.0
619,Tunisia,GDP_per_capita,0.0
620,United Arab Emirates,GDP_per_capita,0.0
621,Canada,GDP_per_capita,0.0
622,USA,GDP_per_capita,0.0
623,Austria,GDP_per_capita,0.0
624,Belgium,GDP_per_capita,0.0
625,Denmark,GDP_per_capita,0.0
626,Finland,GDP_per_capita,0.0
627,France,GDP_per_capita,0.0
628,Germany,GDP_per_capita,0.0
629,Greece,GDP_per_capita,0.0
630,Ireland,GDP_per_capita,0.0
631,Italy,GDP_per_capita,0.0
632,Netherlands,GDP_per_capita,0.0
633,Norway,GDP_per_capita,0.0
634,Portugal,GDP_per_capita,0.0
635,Spain,GDP_per_capita,0.0
636,Sweden,GDP_per_capita,0.0
637,Switzerland,GDP_per_capita,0.0
638,Turkey,GDP_per_capita,0.0
639,United Kingdom,GDP_per_capita,0.0
640,Azerbaijan,Refrigerator_per_capita,0.0
641,China,Refrigerator_per_capita,0.0
642,"Hong Kong, China",Refrigerator_per_capita,0.0
643,India,Refrigerator_per_capita,0.0
644,Indonesia,Refrigerator_per_capita,0.0
645,Japan,Refrigerator_per_capita,0.0
646,Kazakhstan,Refrigerator_per_capita,0.0
647,Malaysia,Refrigerator_per_capita,0.0
648,Pakistan,Refrigerator_per_capita,0.0
649,Philippines,Refrigerator_per_capita,0.0
650,Singapore,Refrigerator_per_capita,0.0
651,South Korea,Refrigerator_per_capita,0.0
652,Taiwan,Refrigerator_per_capita,0.0
653,Thailand,Refrigerator_per_capita,0.0
654,Uzbekistan,Refrigerator_per_capita,0.0
655,Vietnam,Refrigerator_per_capita,0.0
656,Australia,Refrigerator_per_capita,0.0
657,New Zealand,Refrigerator_per_capita,0.0
658,Belarus,Refrigerator_per_capita,0.0
659,Bosnia-Herzegovina,Refrigerator_per_capita,0.0
660,Bulgaria,Refrigerator_per_capita,0.0
661,Croatia,Refrigerator_per_capita,0.0
662,Czech Republic,Refrigerator_per_capita,0.0
663,Estonia,Refrigerator_per_capita,0.0
664,Georgia,Refrigerator_per_capita,0.0
665,Hungary,Refrigerator_per_capita,0.0
666,Latvia,Refrigerator_per_capita,0.0
667,Lithuania,Refrigerator_per_capita,0.0
668,Macedonia,Refrigerator_per_capita,0.0
669,Poland,Refrigerator_per_capita,0.0
670,Romania,Refrigerator_per_capita,0.0
671,Russia,Refrigerator_per_capita,0.0
672,Serbia,Refrigerator_per_capita,0.0
673,Slovakia,Refrigerator_per_capita,0.0
674,Slovenia,Refrigerator_per_capita,0.0
675,Ukraine,Refrigerator_per_capita,0.0
676,Argentina,Refrigerator_per_capita,0.0
677,Bolivia,Refrigerator_per_capita,0.0
678,Brazil,Refrigerator_per_capita,0.0
679,Chile,Refrigerator_per_capita,0.0
680,Colombia,Refrigerator_per_capita,0.0
681,Costa Rica,Refrigerator_per_capita,0.0
682,Dominican Republic,Refrigerator_per_capita,0.0
683,Ecuador,Refrigerator_per_capita,0.0
684,Guatemala,Refrigerator_per_capita,0.0
685,Mexico,Refrigerator_per_capita,0.0
686,Peru,Refrigerator_per_capita,0.0
687,Uruguay,Refrigerator_per_capita,0.0
688,Venezuela,Refrigerator_per_capita,0.0
689,Algeria,Refrigerator_per_capita,0.0
690,Cameroon,Refrigerator_per_capita,0.0
691,Egypt,Refrigerator_per_capita,0.0
692,Iran,Refrigerator_per_capita,0.0
693,Israel,Refrigerator_per_capita,0.0
694,Kenya,Refrigerator_per_capita,0.0
695,Morocco,Refrigerator_per_capita,0.0
696,Nigeria,Refrigerator_per_capita,0.0
697,Saudi Arabia,Refrigerator_per_capita,0.0
698,South Africa,Refrigerator_per_capita,0.0
699,Tunisia,Refrigerator_per_capita,0.0
700,United Arab Emirates,Refrigerator_per_capita,0.0
701,Canada,Refrigerator_per_capita,0.0
702,USA,Refrigerator_per_capita,0.0
703,Austria,Refrigerator_per_capita,0.0
704,Belgium,Refrigerator_per_capita,0.0
705,Denmark,Refrigerator_per_capita,0.0
706,Finland,Refrigerator_per_capita,0.0
707,France,Refrigerator_per_capita,0.0
708,Germany,Refrigerator_per_capita,0.0
709,Greece,Refrigerator_per_capita,0.0
710,Ireland,Refrigerator_per_capita,0.0
711,Italy,Refrigerator_per_capita,0.0
712,Netherlands,Refrigerator_per_capita,0.0
713,Norway,Refrigerator_per_capita,0.0
714,Portugal,Refrigerator_per_capita,0.0
715,Spain,Refrigerator_per_capita,0.0
716,Sweden,Refrigerator_per_capita,0.0
717,Switzerland,Refrigerator_per_capita,0.0
718,Turkey,Refrigerator_per_capita,0.0
719,United Kingdom,Refrigerator_per_capita,0.0
720,Azerbaijan,Ice_Cream_Volume_per_capita,0.0
721,China,Ice_Cream_Volume_per_capita,0.0
722,"Hong Kong, China",Ice_Cream_Volume_per_capita,0.0
723,India,Ice_Cream_Volume_per_capita,0.0
